Date, ZC025YR, ZC050YR, ZC075YR, ZC100YR, ZC200YR, ZC500YR, ZC1000YR, ZC2000YR, ZC3000YR
2016-05-19,0.0052827,0.0056399,0.0058455,0.0060511,0.0061458,0.0079123,0.0140991,0.0212244,0.0204924
2016-05-20,0.0052855,0.005642,0.0058477,0.0060533,0.0061761,0.0079216,0.0141792,0.021353,0.0206252
2016-05-24,0.0052978,0.005651,0.0058565,0.006062,0.0062282,0.0081085,0.0143794,0.0215338,0.0207931
2016-05-25,0.0053508,0.0056029,0.0058085,0.006014,0.0062815,0.0083228,0.0145477,0.0215962,0.0208547
2016-05-26,0.0053545,0.0056052,0.0058107,0.0060162,0.0061146,0.0079344,0.0139366,0.0213261,0.020591
2016-05-27,0.0053078,0.0056075,0.005813,0.0060185,0.0064562,0.008183,0.014198,0.0212672,0.0206114
2016-05-30,0.0054129,0.0056282,0.005884,0.0061399,0.006499,0.0082175,0.0141713,0.021233,0.0205947
2016-05-31,0.0053684,0.0057391,0.0059375,0.006133,0.0061137,0.0077007,0.0138116,0.0209602,0.0203099
2016-06-01,0.0051875,0.005674,0.0058137,0.0059513,0.0058597,0.007558,0.0137308,0.020872,0.0202303
2016-06-02,0.0050961,0.0054577,0.0055012,0.0055446,0.0056421,0.0072046,0.0132593,0.0203009,0.0197254
2016-06-03,0.0050504,0.005257,0.0052629,0.0052687,0.0050664,0.006482,0.012549,0.0197949,0.01919
2016-06-06,0.0051003,0.0053082,0.0053355,0.0053628,0.0054709,0.0069276,0.0131413,0.0201629,0.0195589
2016-06-07,0.0051506,0.0053606,0.0054194,0.0054782,0.0052463,0.0067978,0.0129356,0.0202213,0.0194841
2016-06-08,0.0051023,0.0053564,0.005349,0.0053416,0.0051979,0.0066604,0.0127321,0.0200647,0.0193777
2016-06-09,0.0051039,0.0053048,0.0052807,0.0052565,0.0051532,0.006628,0.0124965,0.0197841,0.0191492
2016-06-10,0.0051064,0.0053051,0.0052884,0.0052717,0.004952,0.0061774,0.0118945,0.019286,0.0186576
2016-06-13,0.0052084,0.0053105,0.0053413,0.005372,0.0049111,0.0060587,0.0118369,0.0192748,0.0185974
2016-06-14,0.0052065,0.0052513,0.0052148,0.0051782,0.0049952,0.0061534,0.0119313,0.019218,0.0185761
2016-06-15,0.0051034,0.0051128,0.0051591,0.0052053,0.0048371,0.0057895,0.0115818,0.019084,0.0183743
2016-06-16,0.0050988,0.0050564,0.0050596,0.0050627,0.0051205,0.0061461,0.0117604,0.01899,0.0182684
2016-06-17,0.0050984,0.0050692,0.005148,0.0052268,0.0051904,0.0062878,0.0119332,0.0191073,0.0183623
2016-06-20,0.0051003,0.0051821,0.0053114,0.0054407,0.005755,0.0070108,0.0127835,0.0197981,0.0190485
2016-06-21,0.0051997,0.0052837,0.0054132,0.0055426,0.0059934,0.0074433,0.0132963,0.0202441,0.0194454
2016-06-22,0.0052019,0.0053798,0.0054842,0.0055886,0.0059408,0.0073975,0.0130735,0.0202221,0.0193824
2016-06-23,0.0052043,0.0054371,0.0055667,0.0056963,0.0062097,0.0079183,0.0138387,0.0206567,0.0198537
2016-06-24,0.0050051,0.0051064,0.0051097,0.005113,0.0054234,0.0068345,0.0125445,0.0195202,0.0187061
2016-06-27,0.0049092,0.0050063,0.0050094,0.0050125,0.0048494,0.0060243,0.0115833,0.0186532,0.017789
2016-06-28,0.0049574,0.0050493,0.0050924,0.0051345,0.004891,0.0060999,0.011544,0.0187154,0.0178359
2016-06-29,0.004957,0.005177,0.0051888,0.0051992,0.0053678,0.0065897,0.0119806,0.0190266,0.0181997
2016-06-30,0.00491,0.0052068,0.0052102,0.0052135,0.0051123,0.0060833,0.0113613,0.0186178,0.017788
2016-07-04,0.0049059,0.0053211,0.0052657,0.0052103,0.0050746,0.00601,0.0111878,0.0181039,0.017339
2016-07-05,0.0049048,0.0053466,0.0052257,0.0051048,0.0048169,0.0057386,0.0106697,0.0173537,0.0165317
2016-07-06,0.0047054,0.005371,0.0051845,0.004998,0.0047191,0.0056966,0.0105282,0.0168263,0.0159271
2016-07-07,0.0047048,0.0053985,0.0051965,0.0049945,0.0046029,0.0056011,0.0104949,0.0168343,0.0161023
2016-07-08,0.0047139,0.0054259,0.0052083,0.0049907,0.0045524,0.0055006,0.0103138,0.0167907,0.0160565
2016-07-11,0.0047179,0.0050063,0.0050094,0.0050125,0.0046152,0.0056305,0.0104555,0.0168815,0.0161333
2016-07-12,0.0047248,0.0050632,0.0051168,0.0051704,0.004906,0.0062832,0.0112946,0.0178078,0.0171033
2016-07-13,0.004725,0.0050137,0.0050672,0.0051207,0.0048274,0.0059055,0.0107377,0.017458,0.0167499
2016-07-14,0.0046372,0.0050143,0.0050678,0.0051213,0.0052178,0.0064527,0.0111877,0.018107,0.0173363
2016-07-15,0.0046616,0.0052324,0.005387,0.0055416,0.0056763,0.0070805,0.0119478,0.0188555,0.0180669
2016-07-18,0.0047264,0.0052425,0.0054223,0.0056021,0.0056058,0.0068034,0.011751,0.0187509,0.0179402
2016-07-19,0.0047085,0.005239,0.0053936,0.0055481,0.0055309,0.0066397,0.0115012,0.0185428,0.0177213
2016-07-20,0.0048543,0.0053968,0.0055767,0.0057567,0.0058365,0.0071087,0.0119666,0.0188761,0.0180718
2016-07-21,0.0051042,0.0053987,0.0055787,0.0057587,0.0054735,0.0068254,0.0117909,0.0188926,0.0180997
2016-07-22,0.0050087,0.0053319,0.0054362,0.0055405,0.0053908,0.0067375,0.0116933,0.0186235,0.0178796
2016-07-25,0.0049775,0.0053925,0.005522,0.0056515,0.0055048,0.0068421,0.0117649,0.0185963,0.017885
2016-07-26,0.0050944,0.0055388,0.0056643,0.0057837,0.0056796,0.0070363,0.0118982,0.018588,0.0178945
2016-07-27,0.0051875,0.0055749,0.0056887,0.0058009,0.0055312,0.0067844,0.0113872,0.0181703,0.0174613
2016-07-28,0.0054222,0.0056584,0.0057633,0.0058682,0.0055993,0.0068364,0.011318,0.0181358,0.0174256
2016-07-29,0.0053327,0.0055093,0.0056139,0.0057185,0.0051915,0.006327,0.0109147,0.0176967,0.0169814
2016-08-02,0.0053469,0.0055166,0.0056717,0.0058268,0.0053036,0.0066682,0.0113857,0.0179421,0.0172547
2016-08-03,0.0053508,0.0055183,0.0056734,0.0058284,0.0053527,0.0069001,0.0117093,0.0179942,0.0173089
2016-08-04,0.005104,0.0053717,0.0055517,0.0057317,0.0051722,0.0064974,0.0111909,0.0176863,0.016957
2016-08-05,0.0051057,0.005264,0.005343,0.0054221,0.0049404,0.0064656,0.01139,0.01817,0.0173814
2016-08-08,0.0051082,0.005213,0.0052668,0.0053207,0.0048185,0.0063545,0.0113234,0.0181508,0.0173447
2016-08-09,0.0052536,0.0052568,0.0052603,0.0052638,0.0047684,0.006064,0.0107224,0.0176216,0.0168064
2016-08-10,0.0051875,0.0052068,0.0052102,0.0052136,0.0048286,0.0060194,0.0105626,0.0174337,0.0166227
2016-08-11,0.0050032,0.0052148,0.0052685,0.0053223,0.0051405,0.0064633,0.0110652,0.0177926,0.0170043
2016-08-12,0.004909,0.005211,0.0052396,0.0052682,0.0050165,0.0062919,0.010748,0.0175887,0.0167745
2016-08-15,0.0048574,0.005217,0.0052708,0.0053245,0.0052228,0.0065714,0.0111263,0.0177799,0.0169787
2016-08-16,0.0048557,0.0053394,0.0054941,0.0056488,0.0053943,0.0067522,0.0113323,0.0179681,0.0171527
2016-08-17,0.0049036,0.0053466,0.0055265,0.0057064,0.0055328,0.0067704,0.0112933,0.0180685,0.0172464
